Country,cost_of_living_index,rent_index,cost_of_living_plus_rent_index,groceries_index,restaurant_price_index,local_purchasing_power_index,year
Guatemala,44.39,16.19,31.34,42.39,33.34,22.17,2021 (mid)
South Africa,44.21,18.25,32.19,37.08,39.95,69.15,2021 (mid)
El Salvador,44.01,14.12,30.18,42.68,36.14,19.21,2021 (mid)
Hungary,42.26,12.79,28.62,35.8,34.48,47.41,2021 (mid)
Nicaragua,41.81,8.68,26.48,40.68,29.92,15.2,2021 (mid)
Dominican Republic,41.79,10.15,27.15,37.66,34.55,18.8,2021 (mid)
Poland,41.75,19.39,31.4,34.11,35.1,43.61,2021 (mid)
Botswana,41.7,10.73,27.37,35.71,46.73,48.96,2021 (mid)
China,41.31,16.67,29.91,45.2,27.47,53.62,2021 (mid)
Honduras,41.29,10.71,27.14,35.34,29.13,28.72,2021 (mid)
Cameroon,40.85,7.65,25.49,41.51,24.26,14.07,2021 (mid)
Iran,40.64,16.73,29.58,35.06,24.37,16.82,2021 (mid)
Montenegro,39.81,12.02,26.95,31.81,32.37,33.1,2021 (mid)
Philippines,39.11,10.41,25.83,38.41,21.72,18,2021 (mid)
Ecuador,38.79,12.07,26.42,36.03,28.66,27.1,2021 (mid)
Bulgaria,38.67,9.56,25.2,34.25,30.59,39.49,2021 (mid)
Ghana,38.53,21.08,30.46,38.73,31.85,16.85,2021 (mid)
Albania,37.73,8.6,24.25,30.88,28.08,25.59,2021 (mid)
Serbia,37.62,9.75,24.73,28.83,30.62,34.16,2021 (mid)
Malaysia,37.52,10.44,24.99,39.02,21.25,50.11,2021 (mid)
Bosnia And Herzegovina,36.95,7.32,23.24,31.17,25.48,38.94,2021 (mid)
Vietnam,36.94,13.94,26.29,37.87,19.18,25.29,2021 (mid)
Romania,36.77,10.91,24.8,32.45,31.54,41.89,2021 (mid)
Russia,36.76,15.3,26.83,30.79,37.17,35.53,2021 (mid)
Mexico,36.74,14.45,26.43,35.04,33.72,31.3,2021 (mid)
Brazil,36.06,9.24,23.65,30.08,27.7,25.13,2021 (mid)
Myanmar,36.04,20.41,28.8,37.24,19.76,12.73,2021 (mid)
Iraq,36.02,11.33,24.59,31.56,29.08,35.9,2021 (mid)
Indonesia,35.95,9.94,23.91,38.01,17.7,19.01,2021 (mid)
Kenya,35.82,10,23.87,32.77,30.37,25.37,2021 (mid)
Morocco,35.58,9.87,23.68,32.13,25.69,29.77,2021 (mid)
Argentina,35.33,8.31,22.83,28.34,34.18,27.68,2021 (mid)
Bolivia,35.15,11.28,24.1,31.23,25.42,33.39,2021 (mid)
Somalia,34.5,5.8,21.22,39.28,26.91,26.16,2021 (mid)
Mongolia,33.73,10.07,22.78,35.16,22.96,24.34,2021 (mid)
Rwanda,33.57,15.77,25.34,28.59,29.37,22.78,2021 (mid)
Tanzania,33.48,13.43,24.2,30.16,25.33,14.97,2021 (mid)
Armenia,33.22,11.61,23.22,26.52,29.65,24.23,2021 (mid)
Peru,33.01,11.27,22.95,31.12,21.77,26.13,2021 (mid)
Bangladesh,33.01,4.76,19.94,30.77,21.22,21.76,2021 (mid)
Zambia,32.94,8.5,21.63,30.85,21.95,41.19,2021 (mid)
Uganda,32.8,8.08,21.36,29.92,24.08,11.56,2021 (mid)
North Macedonia,32.76,6.69,20.7,27.64,22.01,29.92,2021 (mid)
Turkey,31.74,7.42,20.49,26.96,22.41,31.27,2021 (mid)
Belarus,31.58,10.21,21.69,27.12,32.46,29.87,2021 (mid)
Ukraine,31.2,11.57,22.12,26.5,25.35,30.28,2021 (mid)
Moldova,30.72,8.93,20.64,24.48,27.29,29.44,2021 (mid)
Paraguay,30.72,10.68,21.45,24.92,24.87,24.14,2021 (mid)
Sri Lanka,30.41,8.4,20.23,35.83,16.06,18.43,2021 (mid)
Azerbaijan,30.04,8.85,20.23,25.9,28.71,23.1,2021 (mid)
Nigeria,29.63,33.87,31.59,32.45,18.78,8.79,2021 (mid)
Kazakhstan,29.58,9.63,20.35,25.71,27.64,31.62,2021 (mid)
Egypt,29.14,5.98,18.43,26.26,23.84,18.54,2021 (mid)
Tunisia,28.77,5.82,18.15,28.05,16.85,25.42,2021 (mid)
Georgia,28.58,9.64,19.81,25.19,24.83,25.16,2021 (mid)
Colombia,28.12,8.61,19.09,24.1,20.37,25.34,2021 (mid)
Syria,28.05,5.96,17.83,27.75,23.4,6.84,2021 (mid)
Nepal,27.86,4.4,17.01,25.96,19.91,20,2021 (mid)
Algeria,27.84,5.14,17.34,28.93,14.95,22.49,2021 (mid)
Kosovo (Disputed Territory),27.83,8.76,19,25.29,20.92,39.05,2021 (mid)
Afghanistan,27.64,3.64,16.54,19.02,16.34,20.53,2021 (mid)
Uzbekistan,27.1,9.64,19.02,27.06,21.87,19.48,2021 (mid)
India,24.6,5.67,15.84,26.08,18.14,42.16,2021 (mid)
Pakistan,21.88,4.57,13.87,19.71,16.89,24.56,2021 (mid)
Bermuda,145.07,92.86,120.13,141.77,157.7,83.43,2021
Switzerland,131.75,55.05,95.1,133.36,126.08,110.96,2021
Norway,106.09,36.18,72.68,100.59,105.9,79.43,2021
Iceland,96.77,43.17,71.16,88.84,102.24,71.88,2021
Denmark,91.67,36.18,65.16,72.62,104.92,94.73,2021
Luxembourg,88.28,61.62,75.54,80.71,94.66,95.38,2021
Japan,87.77,28.03,59.23,90.47,49.74,76.53,2021
Israel,86.63,31.9,60.48,73.68,91.1,70.36,2021
Bahamas,85.85,34.54,61.33,69.35,89.29,49.31,2021
Singapore,85.59,64.77,75.64,75.31,62.07,83.62,2021
Australia,84.14,38.38,62.28,81.14,76.28,99.29,2021
Ireland,83.11,45.42,65.1,67.8,82.34,73.84,2021
Barbados,81.49,21.09,52.63,71.51,72.85,45.34,2021
South Korea,81.2,22.91,53.35,99.84,43.98,76.6,2021
France,80.62,27.79,55.38,77.46,75.48,74.06,2021
Hong Kong,79.94,74.24,77.22,81.73,58.6,62.45,2021
Sweden,79.17,28.08,54.76,71.67,77.23,90.55,2021
New Zealand,79.14,35.38,58.23,75.03,69.18,81.44,2021
Seychelles,78.92,34.32,57.61,78.56,84.24,18.03,2021
Netherlands,78.64,39.31,59.85,61.63,81.62,83.89,2021
Belgium,78.52,26.84,53.83,67.33,82.4,76.54,2021
Finland,77.46,28.04,53.85,65.6,81.22,89.05,2021
Lebanon,75.88,24.08,51.13,72.51,62.89,29.49,2021
Austria,75.49,28.42,53,67.62,70.98,78.23,2021
Malta,73.61,32.96,54.19,63.41,77.04,41.89,2021
Italy,73.11,22.91,49.13,62.46,75.6,58.7,2021
United States,71.92,41.14,57.21,70.24,69.42,102.58,2021
United Kingdom,71.03,31.61,52.19,56.38,74.69,82.56,2021
Germany,70.62,29.64,51.04,54.69,65,93.72,2021
Canada,70.08,32.48,52.12,68.5,63.96,82.76,2021
Macao,69.6,44.39,57.56,66.28,48.93,67.6,2021
Puerto Rico,69.51,19.42,45.58,72.13,58.12,69.22,2021
Taiwan,65.25,17.92,42.64,79.11,28.8,56.08,2021
Qatar,64.23,46.59,55.8,56.72,62.58,93.12,2021
Cyprus,64.05,22.7,44.29,51.68,66.31,52.34,2021
United Arab Emirates,61.67,40.62,51.61,48.84,61.25,85.74,2021
Greece,60.96,13.05,38.07,47.66,55.71,38.95,2021
Slovenia,59.38,18.88,40.03,51.46,47.86,56.14,2021
Spain,59.09,23.59,42.13,48.74,56.99,62.68,2021
Bahrain,57.7,29.53,44.24,46.96,52.27,53.24,2021
Estonia,56.45,16.27,37.25,43.35,56.27,61.22,2021
Croatia,56.36,14.94,36.57,49.1,46.13,43.13,2021
Palestine,55.88,9.98,33.95,50.24,36.21,39.1,2021
Cuba,55.54,14.89,36.12,46.93,32.85,1.42,2021
Trinidad And Tobago,55.48,16.44,36.83,53.09,52.21,39,2021
Ivory Coast,54.61,20.26,38.2,47.15,34.5,6.32,2021
Ethiopia,54.3,15.59,35.8,37.47,18.17,10.1,2021
Panama,54.07,22.58,39.02,54.77,45.48,32.05,2021
Jamaica,53.16,15.93,35.37,55.94,33.12,32.21,2021
Portugal,52.88,22.31,38.27,42.01,43.24,44.96,2021
Latvia,52.87,13.17,33.9,41.36,44.92,45.94,2021
Mauritius,52.57,12.32,33.34,54.15,37.56,27.38,2021
Belize,52.45,11.56,32.91,47.82,36.1,45.71,2021
Jordan,52.17,9.69,31.87,42.76,42.08,33.13,2021
Suriname,51.86,10.42,32.06,50.39,62.59,16.47,2021
Zimbabwe,51.52,9.44,31.41,45.56,39.29,22.1,2021
Yemen,51.46,6.21,29.84,61.17,23.62,14.75,2021
Uruguay,51.09,13.56,33.16,40.83,48.95,30.62,2021
Costa Rica,50.64,14.52,33.38,48.03,41.33,39.01,2021
Oman,50.18,17.32,34.48,46.9,41.88,84.45,2021
Saudi Arabia,49.95,11.64,31.64,41.74,31.98,88.18,2021
Kuwait,49.4,31.43,40.82,35.87,45.12,75.32,2021
Brunei,49.35,23.44,36.97,47.21,35.86,89.03,2021
Chile,49.33,14.66,32.76,41.82,45.96,33.33,2021
Thailand,49.32,16.33,33.56,50.64,24.19,31.36,2021
Czech Republic,49.18,19.81,35.15,42.76,34.68,56.4,2021
Slovakia,49.08,17.43,33.96,42.96,37.47,50.39,2021
Fiji,48.54,17.77,33.84,53.43,38.55,30.04,2021
Cambodia,47.91,14.56,31.98,48.64,23.1,11.4,2021
Lithuania,47.66,14.63,31.88,37.28,45.96,54.6,2021
Guatemala,44.76,15.24,30.66,41.68,32.45,25.64,2021
El Salvador,44.57,13.33,29.64,42.69,33.33,20.72,2021
Nicaragua,42.77,7.99,26.15,41.07,29.47,16.69,2021
Hungary,42.75,12.75,28.42,35.46,34.24,49.81,2021
Cameroon,42.57,7.42,25.78,42.88,24.67,15.37,2021
China,42.54,16.42,30.06,45.49,28.4,57.47,2021
Honduras,42.2,10.63,27.12,35.13,28.73,31.06,2021
Poland,42.04,18.09,30.6,33.45,35.38,47.09,2021
South Africa,41.69,15.94,29.38,34.59,37.22,72.92,2021
Dominican Republic,41.54,9.81,26.38,36.12,35.28,21.72,2021
Montenegro,41.43,11.75,27.25,32.55,32.54,35.36,2021
Iran,41.34,17.88,30.13,36.26,25.85,19,2021
Namibia,41.02,14.29,28.25,35.67,35.58,53.28,2021
Bulgaria,40.92,9.88,26.09,35.24,31.88,40.26,2021
Philippines,40.65,10.41,26.2,38.91,22.16,19.71,2021
Ghana,40.63,18.44,30.02,41.21,31.53,15.19,2021
Botswana,40.41,10.74,26.23,34.64,41.52,61.95,2021
Albania,40.25,9.21,25.42,32.73,30.71,26.58,2021
Ecuador,40.08,12.03,26.68,36.42,28.55,30.54,2021
Malaysia,39.51,10.77,25.78,40.2,21.71,56.1,2021
Serbia,39.19,9.83,25.17,29.68,30.59,35.83,2021
Bosnia And Herzegovina,38.56,7.13,23.54,31.84,25.7,42.56,2021
Romania,38.5,10.76,25.25,33.45,32.38,45.19,2021
Myanmar,38.06,21.71,30.25,39.59,21.22,10.67,2021
Vietnam,38.05,14.16,26.63,38.32,19.03,27.26,2021
Argentina,37.87,8.49,23.83,29.2,33.39,34.56,2021
Indonesia,37.44,10.29,24.47,39.4,17.99,20.89,2021
Somalia,37.42,5.9,22.36,44.46,26.73,27.23,2021
Morocco,36.85,9.72,23.89,32.78,26.33,32.17,2021
Kenya,36.3,9.17,23.33,33.38,30.5,27.67,2021
Peru,36.26,12.25,24.79,33.83,23.56,28.81,2021
Bolivia,36.11,10.76,23.99,31.94,25.24,37.23,2021
Mozambique,35.89,15.12,25.97,29.07,29.28,16.4,2021
Mexico,35.05,11.62,23.86,33.64,28.92,35.54,2021
Tanzania,34.6,13.11,24.33,30.62,25.16,16.05,2021
North Macedonia,34.15,6.72,21.04,28.46,22.46,31.97,2021
Rwanda,34.07,14.92,24.92,28.51,28.54,21.97,2021
Bangladesh,33.31,4.9,19.74,31.49,20.39,24.07,2021
Mongolia,33.17,9.91,22.05,33.11,23.35,28.09,2021
Russia,33.17,9.77,21.99,27.81,30.65,34.61,2021
Iraq,32.72,9.76,21.75,27.48,25.64,39.75,2021
Moldova,32.68,8.65,21.2,26.07,26.59,26.99,2021
Uganda,32.18,7.29,20.29,28.93,22,13.97,2021
Brazil,31.82,8.12,20.5,25.41,22.55,28.66,2021
Armenia,31.68,10.36,21.5,24.56,27.25,26.13,2021
Turkey,31.48,6.1,19.35,28.11,19.91,35.35,2021
Sri Lanka,31.28,8.54,20.42,36.47,16.54,20.77,2021
Colombia,31,9.96,20.94,26.28,21.8,26.13,2021
Azerbaijan,30.9,9.02,20.45,26.23,28.66,25.77,2021
Paraguay,30.72,9.77,20.71,24.55,24.34,27.51,2021
Belarus,30.69,9.19,20.42,26.57,31.03,31.96,2021
Egypt,30.1,5.97,18.57,26.53,24.91,19.99,2021
Kazakhstan,29.76,9.31,19.99,25.61,25.8,34.92,2021
Nigeria,29.74,28.91,29.34,31.23,17.97,9.78,2021
Tunisia,29.5,5.77,18.16,28.48,15.75,27.81,2021
Kosovo (Disputed Territory),29.4,8.8,19.56,26.86,21.1,40.14,2021
Ukraine,29.21,8.74,19.43,24.34,23.72,30.1,2021
Syria,29.03,5.68,17.87,28.38,23.48,8.08,2021
Nepal,28.86,4.54,17.24,26.45,19.68,20.63,2021
Algeria,28.31,5.01,17.18,29.09,14.98,24.77,2021
Zambia,28.06,6.75,17.88,27.12,16.18,59.47,2021
Georgia,28.05,9.42,19.15,24.37,24.22,25.67,2021
Uzbekistan,27.12,8.06,18.01,23.91,21.43,21.96,2021
Afghanistan,26.33,3.85,15.59,19.3,16.98,26.58,2021
India,25.16,5.77,15.9,26.26,17.66,47.13,2021
Kyrgyzstan,22.98,7.43,15.55,20.57,19.19,22.01,2021
Libya,22.32,5.68,14.37,25.3,13.31,31.81,2021
Pakistan,21.59,4.37,13.36,19.06,17.24,27.28,2021
Switzerland,122.4,50.25,87.89,120.27,123.01,119.53,2020 (mid)
Norway,101.43,36.15,70.21,91.14,109.28,88.38,2020 (mid)
Iceland,100.48,46.95,74.88,86.89,113.74,79.44,2020 (mid)
Japan,83.35,25.97,55.9,81.82,48.95,87.28,2020 (mid)
Denmark,83,31.92,58.57,61.74,100.75,100.88,2020 (mid)
Bahamas,82.51,36.36,60.43,62.65,83.66,54.18,2020 (mid)
Luxembourg,81.89,54.92,68.99,69.1,89.85,103.92,2020 (mid)
Israel,81.15,31.33,57.32,66.31,88.65,78.09,2020 (mid)
Singapore,81.1,63.27,72.58,66.75,58.99,88.96,2020 (mid)
South Korea,78.18,22.86,51.72,91.31,44.87,85.21,2020 (mid)
Hong Kong,77.22,79.57,78.35,75.94,54.36,65.32,2020 (mid)
Barbados,76.02,19.7,49.08,65.2,68.14,51.1,2020 (mid)
Ireland,75.91,43.88,60.59,58.35,81.24,80.88,2020 (mid)
France,74.14,25.39,50.82,67.9,72.54,80.36,2020 (mid)
Netherlands,73.75,35.18,55.3,55.87,80.48,90.73,2020 (mid)
Australia,73.54,34.86,55.04,67.23,70.32,107.31,2020 (mid)
New Zealand,72.53,32.09,53.19,64.69,68.8,92.66,2020 (mid)
Belgium,71.78,25.43,49.61,58.66,80.14,86.28,2020 (mid)
Seychelles,71.59,32.34,52.81,64.61,84.86,21.67,2020 (mid)
United States,71.05,40.32,56.36,66.61,70.74,109.52,2020 (mid)
Austria,70.38,26.81,49.54,61.73,68.09,82.38,2020 (mid)
Finland,70.29,26.16,49.18,56.52,76.81,99.93,2020 (mid)
Sweden,69.85,25.9,48.83,60.47,72.35,101.73,2020 (mid)
Canada,67.62,30.73,49.98,63.68,63.53,95.09,2020 (mid)
Puerto Rico,67.54,19.29,44.46,65.76,58.68,79.38,2020 (mid)
Malta,67.46,31.04,50.04,54.9,75.94,46.32,2020 (mid)
United Kingdom,67.28,29.85,49.38,51.27,74.13,91.73,2020 (mid)
Italy,67.26,21.22,45.24,55.44,72.32,65.59,2020 (mid)
Germany,65.26,27.06,46.99,49.23,61.58,102.36,2020 (mid)
Macao,64.84,43.98,54.87,62,43.37,80.9,2020 (mid)
Qatar,64.04,47.44,56.1,53.61,66.83,111.69,2020 (mid)
United Arab Emirates,61.98,41.07,51.98,47.63,61.32,91.58,2020 (mid)
Taiwan,61.37,16.42,39.87,71.51,28.49,65.67,2020 (mid)
Lebanon,60.5,24.54,43.3,43.92,58.16,44.47,2020 (mid)
Bahrain,58.94,30.95,45.55,48.11,54.55,57.88,2020 (mid)
Cyprus,57.93,20.54,40.05,44.21,63.11,57.41,2020 (mid)
Jamaica,57.82,15.25,37.46,58.96,38.12,32.37,2020 (mid)
Greece,55.67,11.68,34.62,41.63,53.74,43.68,2020 (mid)
Zimbabwe,55.3,11.02,34.12,50.8,40.79,26.03,2020 (mid)
Palestine,54.54,8.83,32.68,46.67,38.93,46.91,2020 (mid)
Ethiopia,54.39,20.9,38.37,36.3,19.37,8.34,2020 (mid)
Panama,54.16,24.76,40.09,53.03,47.27,34.23,2020 (mid)
Costa Rica,53.98,15.55,35.6,49.6,43.51,42.61,2020 (mid)
Spain,53.77,21.77,38.46,42.38,52.07,72.03,2020 (mid)
Trinidad And Tobago,53.7,17.26,36.27,49.43,49.83,45.7,2020 (mid)
Jordan,53.67,11.54,33.52,43.32,47.12,34.88,2020 (mid)
Slovenia,53.43,17.09,36.05,43.76,45.43,66.31,2020 (mid)
Mauritius,53.04,11.99,33.41,48.94,43.96,30.88,2020 (mid)
Uruguay,51.04,14.43,33.53,40.12,47.41,37.46,2020 (mid)
Estonia,50.93,15.41,33.94,36.57,52.94,71.3,2020 (mid)
Kuwait,50.37,31.21,41.21,34.68,47.08,85.59,2020 (mid)
Thailand,49.77,17.1,34.14,49.2,24.9,35.45,2020 (mid)
Croatia,49.7,13.5,32.38,39.9,42.44,50.42,2020 (mid)
Portugal,49.52,21.81,36.27,38.14,42.48,49.43,2020 (mid)
Oman,49.28,17.98,34.31,43.5,44.26,80.97,2020 (mid)
Belize,49.23,9.74,30.34,41.89,37.05,57.53,2020 (mid)
Saudi Arabia,48.34,11.39,30.67,37.89,33.51,100,2020 (mid)
Latvia,47.94,12.34,30.91,34.85,42.88,52.48,2020 (mid)
Cambodia,47.49,14.9,31.9,44.56,25.19,11.29,2020 (mid)
Fiji,47.48,18.55,33.64,52.67,35.87,33.17,2020 (mid)
Czech Republic,46.15,19.56,33.43,38.13,34.1,62.82,2020 (mid)
El Salvador,45.57,13.48,30.22,43.67,34.8,24.71,2020 (mid)
Brunei,44.71,23.08,34.36,37.11,38.06,86.95,2020 (mid)
Nicaragua,44.56,7.61,26.88,41.71,31.41,23.92,2020 (mid)
Slovakia,44.46,16.11,30.9,37.51,33.82,56.94,2020 (mid)
Lithuania,44.28,13.65,29.63,33.63,42.7,57.85,2020 (mid)
Dominican Republic,44.06,10.62,28.06,35.93,38.27,23.95,2020 (mid)
Chile,43.62,13.39,29.16,36.45,41.57,42.5,2020 (mid)
Cuba,43.46,4.84,24.99,37.4,30.95,2.18,2020 (mid)
Suriname,43.14,7.79,26.23,45.78,34.98,22.39,2020 (mid)
Namibia,43.1,16.12,30.19,36.8,39.22,55.65,2020 (mid)
South Africa,42.87,16.61,30.31,33.29,40.58,73.61,2020 (mid)
Guatemala,42.7,15.29,29.59,37.41,33,39.83,2020 (mid)
Honduras,42.17,10.6,27.07,33.33,30.55,30.26,2020 (mid)
Myanmar,42.11,23.78,33.35,44.68,19.04,10.22,2020 (mid)
Ecuador,40.98,11.96,27.1,35.46,30.66,36.08,2020 (mid)
Hungary,40.85,13.97,27.99,30.77,34.46,47.55,2020 (mid)
Brazil,40.22,10.65,26.08,29.2,30.78,32.81,2020 (mid)
Kenya,40.21,10.73,26.11,35.35,35.06,27.32,2020 (mid)
China,40.04,16.38,28.72,40.37,29.16,60.88,2020 (mid)
Poland,40.04,15.67,28.38,30.55,33.45,59.61,2020 (mid)
Russia,39.21,11.36,25.89,31.08,39.61,38.94,2020 (mid)
Botswana,39.13,11.12,25.73,31.74,39.98,58.1,2020 (mid)
Malaysia,39.12,11,25.67,37.58,22.94,64.49,2020 (mid)
Iraq,39.04,11.28,25.76,31.85,32.72,42.43,2020 (mid)
Iran,39.01,14.48,27.28,35.54,25.12,22.69,2020 (mid)
Somalia,38.68,4.75,22.45,45.88,27.04,33.24,2020 (mid)
Peru,38.65,12.78,26.28,33.8,24.69,33.95,2020 (mid)
Vietnam,38.34,13.57,26.5,37.06,19.59,28.14,2020 (mid)
Montenegro,38.23,10.38,24.91,28.63,33.16,39.8,2020 (mid)
Ghana,37.65,19.41,28.93,37.17,26.59,14.66,2020 (mid)
Philippines,37.63,9,23.94,33.46,20.84,23.48,2020 (mid)
Indonesia,37.27,10.62,24.52,37.36,18.25,25.05,2020 (mid)
Bulgaria,36.7,9.64,23.75,30.09,29.14,49.37,2020 (mid)
Albania,36.39,8.55,23.07,28.39,26.75,29.56,2020 (mid)
Bosnia And Herzegovina,35.97,6.72,21.97,28.08,25.1,41.83,2020 (mid)
Mexico,35.72,11.46,24.11,32.39,32.12,41.81,2020 (mid)
Serbia,35.72,9.08,22.98,25.46,28.63,36.72,2020 (mid)
Romania,35.31,10.05,23.22,29.03,30.5,48.86,2020 (mid)
Tanzania,35.25,14.04,25.11,29.66,22.57,17.58,2020 (mid)
Belarus,34.7,10.5,23.13,28.06,38.94,37,2020 (mid)
Turkey,34.69,6.78,21.34,29.76,24.16,40.85,2020 (mid)
Bolivia,34.56,10.93,23.26,28.09,25.11,39.34,2020 (mid)
Morocco,34.32,8.94,22.18,30.11,24.5,35.25,2020 (mid)
Moldova,33.7,8.4,21.6,25.96,27.79,27.57,2020 (mid)
Rwanda,33.35,11.88,23.08,26.83,29.17,19.32,2020 (mid)
Ukraine,33.18,10.46,22.31,26.01,26.42,31.8,2020 (mid)
Argentina,32.95,8.33,21.17,25.82,30.52,47.22,2020 (mid)
Armenia,32.84,10.91,22.35,25.61,30.43,28,2020 (mid)
Bangladesh,32.25,5.01,19.22,29.72,19.21,33.21,2020 (mid)
Zambia,31.72,7.39,20.08,26.86,22.07,54.14,2020 (mid)
Sri Lanka,31.61,7.74,20.2,35.09,18.76,24.45,2020 (mid)
North Macedonia,31.59,6.49,19.58,24.94,23.31,37.15,2020 (mid)
Paraguay,31.1,9.66,20.85,25.03,25.01,32.6,2020 (mid)
Nigeria,31,23.59,27.45,31.15,17.71,13.52,2020 (mid)
Colombia,30.66,9.58,20.58,25.05,22.44,31.12,2020 (mid)
Kazakhstan,30.64,9.78,20.66,24.31,29.87,38.36,2020 (mid)
Uganda,30.18,10.15,20.6,25.25,22.14,20.5,2020 (mid)
Algeria,30.1,5.34,18.26,30.71,15.89,28.69,2020 (mid)
Azerbaijan,29.92,9.48,20.15,23.74,30.36,30.2,2020 (mid)
Egypt,29.54,5.49,18.04,25.5,23.53,22.41,2020 (mid)
Nepal,29.05,4.77,17.44,24.91,20.36,21.9,2020 (mid)
Georgia,28.48,9.8,19.54,23.05,26.66,24.88,2020 (mid)
Kosovo (Disputed Territory),28.47,8.47,18.91,26.53,21.04,48.9,2020 (mid)
Venezuela,27.17,6.81,17.43,28.29,24.41,2.61,2020 (mid)
Tunisia,27.04,5.51,16.74,25.25,14.95,34.45,2020 (mid)
Kyrgyzstan,26.97,9.18,18.46,23.39,21.45,24.98,2020 (mid)
Uzbekistan,26.01,7.54,17.18,21.59,20.17,24.31,2020 (mid)
Syria,25.31,5.68,15.92,22.42,21.38,11.46,2020 (mid)
India,24.58,5.68,15.54,24.55,17.17,54.3,2020 (mid)
Afghanistan,24.24,4.03,14.58,17.7,17.38,28.2,2020 (mid)
Pakistan,21.98,4.59,13.66,19.08,16.78,30.57,2020 (mid)
Switzerland,122.4,50.25,87.89,120.27,123.01,119.53,2020
Norway,101.43,36.15,70.21,91.14,109.28,88.38,2020
Iceland,100.48,46.95,74.88,86.89,113.74,79.44,2020
Japan,83.35,25.97,55.9,81.82,48.95,87.28,2020
Denmark,83,31.92,58.57,61.74,100.75,100.88,2020
Bahamas,82.51,36.36,60.43,62.65,83.66,54.18,2020
Luxembourg,81.89,54.92,68.99,69.1,89.85,103.92,2020
Israel,81.15,31.33,57.32,66.31,88.65,78.09,2020
Singapore,81.1,63.27,72.58,66.75,58.99,88.96,2020
South Korea,78.18,22.86,51.72,91.31,44.87,85.21,2020
Hong Kong,77.22,79.57,78.35,75.94,54.36,65.32,2020
Barbados,76.02,19.7,49.08,65.2,68.14,51.1,2020
Ireland,75.91,43.88,60.59,58.35,81.24,80.88,2020
France,74.14,25.39,50.82,67.9,72.54,80.36,2020
Netherlands,73.75,35.18,55.3,55.87,80.48,90.73,2020
Australia,73.54,34.86,55.04,67.23,70.32,107.31,2020
New Zealand,72.53,32.09,53.19,64.69,68.8,92.66,2020
Belgium,71.78,25.43,49.61,58.66,80.14,86.28,2020
Seychelles,71.59,32.34,52.81,64.61,84.86,21.67,2020
United States,71.05,40.32,56.36,66.61,70.74,109.52,2020
Austria,70.38,26.81,49.54,61.73,68.09,82.38,2020
Finland,70.29,26.16,49.18,56.52,76.81,99.93,2020
