Country,cost_of_living_index,rent_index,cost_of_living_plus_rent_index,groceries_index,restaurant_price_index,local_purchasing_power_index,year
Sweden,69.85,25.9,48.83,60.47,72.35,101.73,2020
Canada,67.62,30.73,49.98,63.68,63.53,95.09,2020
Puerto Rico,67.54,19.29,44.46,65.76,58.68,79.38,2020
Malta,67.46,31.04,50.04,54.9,75.94,46.32,2020
United Kingdom,67.28,29.85,49.38,51.27,74.13,91.73,2020
Italy,67.26,21.22,45.24,55.44,72.32,65.59,2020
Germany,65.26,27.06,46.99,49.23,61.58,102.36,2020
Macao,64.84,43.98,54.87,62,43.37,80.9,2020
Qatar,64.04,47.44,56.1,53.61,66.83,111.69,2020
United Arab Emirates,61.98,41.07,51.98,47.63,61.32,91.58,2020
Taiwan,61.37,16.42,39.87,71.51,28.49,65.67,2020
Lebanon,60.5,24.54,43.3,43.92,58.16,44.47,2020
Bahrain,58.94,30.95,45.55,48.11,54.55,57.88,2020
Cyprus,57.93,20.54,40.05,44.21,63.11,57.41,2020
Jamaica,57.82,15.25,37.46,58.96,38.12,32.37,2020
Greece,55.67,11.68,34.62,41.63,53.74,43.68,2020
Zimbabwe,55.3,11.02,34.12,50.8,40.79,26.03,2020
Palestine,54.54,8.83,32.68,46.67,38.93,46.91,2020
Ethiopia,54.39,20.9,38.37,36.3,19.37,8.34,2020
Panama,54.16,24.76,40.09,53.03,47.27,34.23,2020
Costa Rica,53.98,15.55,35.6,49.6,43.51,42.61,2020
Spain,53.77,21.77,38.46,42.38,52.07,72.03,2020
Trinidad And Tobago,53.7,17.26,36.27,49.43,49.83,45.7,2020
Jordan,53.67,11.54,33.52,43.32,47.12,34.88,2020
Slovenia,53.43,17.09,36.05,43.76,45.43,66.31,2020
Mauritius,53.04,11.99,33.41,48.94,43.96,30.88,2020
Uruguay,51.04,14.43,33.53,40.12,47.41,37.46,2020
Estonia,50.93,15.41,33.94,36.57,52.94,71.3,2020
Kuwait,50.37,31.21,41.21,34.68,47.08,85.59,2020
Thailand,49.77,17.1,34.14,49.2,24.9,35.45,2020
Croatia,49.7,13.5,32.38,39.9,42.44,50.42,2020
Portugal,49.52,21.81,36.27,38.14,42.48,49.43,2020
Oman,49.28,17.98,34.31,43.5,44.26,80.97,2020
Belize,49.23,9.74,30.34,41.89,37.05,57.53,2020
Saudi Arabia,48.34,11.39,30.67,37.89,33.51,100,2020
Latvia,47.94,12.34,30.91,34.85,42.88,52.48,2020
Cambodia,47.49,14.9,31.9,44.56,25.19,11.29,2020
Fiji,47.48,18.55,33.64,52.67,35.87,33.17,2020
Czech Republic,46.15,19.56,33.43,38.13,34.1,62.82,2020
El Salvador,45.57,13.48,30.22,43.67,34.8,24.71,2020
Brunei,44.71,23.08,34.36,37.11,38.06,86.95,2020
Nicaragua,44.56,7.61,26.88,41.71,31.41,23.92,2020
Slovakia,44.46,16.11,30.9,37.51,33.82,56.94,2020
Lithuania,44.28,13.65,29.63,33.63,42.7,57.85,2020
Dominican Republic,44.06,10.62,28.06,35.93,38.27,23.95,2020
Chile,43.62,13.39,29.16,36.45,41.57,42.5,2020
Cuba,43.46,4.84,24.99,37.4,30.95,2.18,2020
Suriname,43.14,7.79,26.23,45.78,34.98,22.39,2020
Namibia,43.1,16.12,30.19,36.8,39.22,55.65,2020
South Africa,42.87,16.61,30.31,33.29,40.58,73.61,2020
Guatemala,42.7,15.29,29.59,37.41,33,39.83,2020
Honduras,42.17,10.6,27.07,33.33,30.55,30.26,2020
Myanmar,42.11,23.78,33.35,44.68,19.04,10.22,2020
Ecuador,40.98,11.96,27.1,35.46,30.66,36.08,2020
Hungary,40.85,13.97,27.99,30.77,34.46,47.55,2020
Brazil,40.22,10.65,26.08,29.2,30.78,32.81,2020
Kenya,40.21,10.73,26.11,35.35,35.06,27.32,2020
China,40.04,16.38,28.72,40.37,29.16,60.88,2020
Poland,40.04,15.67,28.38,30.55,33.45,59.61,2020
Russia,39.21,11.36,25.89,31.08,39.61,38.94,2020
Botswana,39.13,11.12,25.73,31.74,39.98,58.1,2020
Malaysia,39.12,11,25.67,37.58,22.94,64.49,2020
Iraq,39.04,11.28,25.76,31.85,32.72,42.43,2020
Iran,39.01,14.48,27.28,35.54,25.12,22.69,2020
Somalia,38.68,4.75,22.45,45.88,27.04,33.24,2020
Peru,38.65,12.78,26.28,33.8,24.69,33.95,2020
Vietnam,38.34,13.57,26.5,37.06,19.59,28.14,2020
Montenegro,38.23,10.38,24.91,28.63,33.16,39.8,2020
Ghana,37.65,19.41,28.93,37.17,26.59,14.66,2020
Philippines,37.63,9,23.94,33.46,20.84,23.48,2020
Indonesia,37.27,10.62,24.52,37.36,18.25,25.05,2020
Bulgaria,36.7,9.64,23.75,30.09,29.14,49.37,2020
Albania,36.39,8.55,23.07,28.39,26.75,29.56,2020
Bosnia And Herzegovina,35.97,6.72,21.97,28.08,25.1,41.83,2020
Mexico,35.72,11.46,24.11,32.39,32.12,41.81,2020
Serbia,35.72,9.08,22.98,25.46,28.63,36.72,2020
Romania,35.31,10.05,23.22,29.03,30.5,48.86,2020
Tanzania,35.25,14.04,25.11,29.66,22.57,17.58,2020
Belarus,34.7,10.5,23.13,28.06,38.94,37,2020
Turkey,34.69,6.78,21.34,29.76,24.16,40.85,2020
Bolivia,34.56,10.93,23.26,28.09,25.11,39.34,2020
Morocco,34.32,8.94,22.18,30.11,24.5,35.25,2020
Moldova,33.7,8.4,21.6,25.96,27.79,27.57,2020
Rwanda,33.35,11.88,23.08,26.83,29.17,19.32,2020
Ukraine,33.18,10.46,22.31,26.01,26.42,31.8,2020
Argentina,32.95,8.33,21.17,25.82,30.52,47.22,2020
Armenia,32.84,10.91,22.35,25.61,30.43,28,2020
Bangladesh,32.25,5.01,19.22,29.72,19.21,33.21,2020
Zambia,31.72,7.39,20.08,26.86,22.07,54.14,2020
Sri Lanka,31.61,7.74,20.2,35.09,18.76,24.45,2020
North Macedonia,31.59,6.49,19.58,24.94,23.31,37.15,2020
Paraguay,31.1,9.66,20.85,25.03,25.01,32.6,2020
Nigeria,31,23.59,27.45,31.15,17.71,13.52,2020
Colombia,30.66,9.58,20.58,25.05,22.44,31.12,2020
Kazakhstan,30.64,9.78,20.66,24.31,29.87,38.36,2020
Uganda,30.18,10.15,20.6,25.25,22.14,20.5,2020
Algeria,30.1,5.34,18.26,30.71,15.89,28.69,2020
Azerbaijan,29.92,9.48,20.15,23.74,30.36,30.2,2020
Egypt,29.54,5.49,18.04,25.5,23.53,22.41,2020
Nepal,29.05,4.77,17.44,24.91,20.36,21.9,2020
Georgia,28.48,9.8,19.54,23.05,26.66,24.88,2020
Kosovo (Disputed Territory),28.47,8.47,18.91,26.53,21.04,48.9,2020
Venezuela,27.17,6.81,17.43,28.29,24.41,2.61,2020
Tunisia,27.04,5.51,16.74,25.25,14.95,34.45,2020
Kyrgyzstan,26.97,9.18,18.46,23.39,21.45,24.98,2020
Uzbekistan,26.01,7.54,17.18,21.59,20.17,24.31,2020
Syria,25.31,5.68,15.92,22.42,21.38,11.46,2020
India,24.58,5.68,15.54,24.55,17.17,54.3,2020
Afghanistan,24.24,4.03,14.58,17.7,17.38,28.2,2020
Pakistan,21.98,4.59,13.66,19.08,16.78,30.57,2020
Cayman Islands,141.64,74.4,109.49,157.93,105.03,137.88,2019 (mid)
Bermuda,138.22,87.62,114.03,124.87,150.4,79.87,2019 (mid)
Switzerland,122.67,50.22,88.03,121.29,124.04,127.76,2019 (mid)
Norway,104.49,37.26,72.34,93.94,115.59,98,2019 (mid)
Us Virgin Islands,97.23,48.24,73.81,87.42,90.74,54.58,2019 (mid)
Iceland,97.22,45.08,72.29,84.63,111.46,92.03,2019 (mid)
Bahamas,85.96,35.4,61.79,68.84,87.2,56.21,2019 (mid)
Japan,85.52,28.08,58.06,84.69,50.05,97.57,2019 (mid)
Luxembourg,84.68,55.44,70.7,71.6,92.91,107.89,2019 (mid)
Denmark,83.88,33.73,59.9,64.02,100.63,110.69,2019 (mid)
Barbados,80.32,20,51.48,72.75,72.61,56.97,2019 (mid)
Singapore,80.23,61.99,71.51,68.28,55.41,88.84,2019 (mid)
Israel,79.54,31.49,56.56,64.86,88.75,85.96,2019 (mid)
Hong Kong,79.21,79.72,79.46,79.4,55.62,66.79,2019 (mid)
Ireland,76.33,43.94,60.85,58.83,84.08,90.8,2019 (mid)
Netherlands,75.22,35.29,56.13,58.1,82.9,98.04,2019 (mid)
South Korea,75.16,20.87,49.2,87.23,43.27,99.13,2019 (mid)
France,74.62,26.1,51.42,67.42,75.09,87.7,2019 (mid)
Australia,73.39,35.35,55.2,67.38,72.23,118.09,2019 (mid)
Belgium,73.13,26.05,50.62,60.46,82.53,93.17,2019 (mid)
New Zealand,73.01,31.44,53.13,65.05,69.93,97.59,2019 (mid)
Seychelles,72.75,32.79,53.64,65.46,87.37,21.52,2019 (mid)
Finland,72.18,26.31,50.25,58.18,79.39,108.78,2019 (mid)
Austria,72.15,27.84,50.96,64.81,71.81,89.88,2019 (mid)
United States,70.95,40.5,56.39,67.1,70.76,119.1,2019 (mid)
Sweden,70.11,25.65,48.85,61.18,72.14,112.75,2019 (mid)
Italy,69.02,21.6,46.35,57.45,74.72,73.43,2019 (mid)
Canada,68.16,30.28,50.04,64.99,63.25,105.01,2019 (mid)
Puerto Rico,66.81,18.46,43.7,65.8,54.64,93.03,2019 (mid)
Germany,66.57,27.02,47.66,51.21,63.38,111.99,2019 (mid)
Malta,65.43,30.14,48.55,51.11,73.53,55.34,2019 (mid)
United Kingdom,65.33,28.69,47.81,50.44,72.54,100.46,2019 (mid)
United Arab Emirates,63.58,45.04,54.71,50.68,62.17,100.53,2019 (mid)
Qatar,62.22,51.18,56.94,52.6,63.93,119.33,2019 (mid)
Libya,61.25,15.15,39.21,72.77,38.11,55.97,2019 (mid)
Lebanon,59.74,26.2,43.7,44.09,58.13,50.7,2019 (mid)
Taiwan,58.77,15.45,38.06,67.88,26.95,74.16,2019 (mid)
Cyprus,58.39,20.72,40.38,45.01,63.14,67.28,2019 (mid)
Bahrain,58.36,31.22,45.38,49.52,52.53,63.84,2019 (mid)
Greece,56.72,11.47,35.09,42.78,55.42,48.46,2019 (mid)
Jamaica,56.44,14.76,36.51,55.76,39.88,35.39,2019 (mid)
Ethiopia,55.52,26.31,41.55,35.81,20.28,9.46,2019 (mid)
Jordan,55.36,11.88,34.57,43.45,49.7,37.34,2019 (mid)
Costa Rica,55.09,16.23,36.51,49.74,45.7,46.02,2019 (mid)
Uruguay,54.91,15.46,36.05,43.15,53.64,39.82,2019 (mid)
Spain,54.74,21.53,38.86,43.25,53.74,79.81,2019 (mid)
Zimbabwe,54.72,11.51,34.06,49.94,39.57,28.66,2019 (mid)
Trinidad And Tobago,54.17,16.5,36.16,49.87,48.9,52.83,2019 (mid)
Slovenia,54.17,15.81,35.83,44.5,45.59,68.24,2019 (mid)
Palestine,52.99,9.25,32.07,46.05,38.44,52.82,2019 (mid)
Panama,52.98,24.42,39.33,50.27,47.41,38.96,2019 (mid)
Mauritius,51.6,11.3,32.33,46.06,40.27,36.76,2019 (mid)
Estonia,50.99,15.63,34.08,36.22,53.06,76.75,2019 (mid)
Portugal,50.77,21.76,36.9,39.9,43.85,53.61,2019 (mid)
Kuwait,50.33,32.98,42.03,36.73,48.05,98.33,2019 (mid)
Croatia,50.05,12.71,32.19,40.52,42.07,57.23,2019 (mid)
Thailand,49.86,17.13,34.21,50.08,24.83,39.87,2019 (mid)
Fiji,49.67,19.79,35.38,54.9,36.71,33.13,2019 (mid)
Latvia,49.55,12.04,31.62,35.72,47.73,56.55,2019 (mid)
Chile,49.15,15.54,33.08,41.26,46.84,51.43,2019 (mid)
Belize,49.06,10.62,30.68,40.63,39.47,71.16,2019 (mid)
Saudi Arabia,48.71,11.55,30.94,37.98,34.17,110.93,2019 (mid)
Oman,48.55,19.4,34.61,40.85,47.06,83.09,2019 (mid)
Myanmar,48.06,22.96,36.06,52.6,22.19,12.68,2019 (mid)
Cambodia,47.82,15.13,32.19,43.9,25.43,11.79,2019 (mid)
El Salvador,47.69,15.61,32.36,46.27,36.29,28.56,2019 (mid)
Dominican Republic,46.17,10.59,29.16,36.37,42.21,25.18,2019 (mid)
Nicaragua,45.87,8.91,28.2,43.69,31.56,24.43,2019 (mid)
Czech Republic,45.7,19.37,33.11,37.89,33.78,71.19,2019 (mid)
Lithuania,45.41,12.8,29.82,35.14,43.77,60.44,2019 (mid)
Mozambique,44.65,19.94,32.84,33.48,38.38,25.49,2019 (mid)
Slovakia,44.65,15.86,30.88,37.68,33.94,61.83,2019 (mid)
Brunei,44.33,23.29,34.27,37.7,35.08,94.26,2019 (mid)
Namibia,44.1,16.87,31.08,38.92,41.18,60.16,2019 (mid)
South Africa,43.74,17.24,31.07,34.36,41.75,81.3,2019 (mid)
Ghana,43.11,26.61,35.22,38.33,27.8,20.69,2019 (mid)
Guatemala,43.04,14.77,29.53,37.69,33.7,41.47,2019 (mid)
Brazil,42.64,10.92,27.48,30.7,34.22,36.31,2019 (mid)
Honduras,42.34,10.97,27.34,33.02,31.64,35.52,2019 (mid)
Ecuador,41.99,11.83,27.57,36.48,31.49,40.84,2019 (mid)
Cuba,41.73,6.31,24.79,36.25,29.71,2.67,2019 (mid)
Hungary,41.7,13.84,28.38,31.88,34.2,53.78,2019 (mid)
Iran,41.39,14.29,28.43,40.11,25.54,25.95,2019 (mid)
China,40.54,17.19,29.37,41.03,29.68,63.93,2019 (mid)
Iraq,39.84,11.11,26.1,32.7,33.92,46.41,2019 (mid)
Suriname,39.58,8.19,24.57,44.06,33.36,24.76,2019 (mid)
Malaysia,39.46,10.65,25.68,38.6,22.97,70.35,2019 (mid)
Poland,39.38,15.29,27.86,30.36,32.89,66.06,2019 (mid)
Botswana,39.37,11.43,26.01,33.28,42.56,67.57,2019 (mid)
Montenegro,39.37,10.3,25.47,30,34.17,42.19,2019 (mid)
Kenya,39.26,11.2,25.84,33.86,32.35,29.34,2019 (mid)
Peru,38.82,12.41,26.19,33.2,26.32,37.42,2019 (mid)
Argentina,38.72,10.38,25.17,31.32,36.43,52.01,2019 (mid)
Russia,38.59,12,25.88,30.79,39.32,43.69,2019 (mid)
Vietnam,38.17,13.34,26.3,36.97,19.98,30.22,2019 (mid)
Bulgaria,37.37,9.45,24.02,30.75,29.71,51,2019 (mid)
Philippines,36.97,8.66,23.44,33.22,20.86,27.21,2019 (mid)
Indonesia,36.86,9.01,23.54,37.48,18.18,31.01,2019 (mid)
Albania,36.63,8.63,23.24,28.54,28.67,32.19,2019 (mid)
Serbia,36.3,8.75,23.13,25.96,29.87,37.94,2019 (mid)
Bosnia And Herzegovina,36.19,6.59,22.04,28.66,24.78,46.52,2019 (mid)
Romania,36.07,10.19,23.7,29.5,31.68,54.2,2019 (mid)
Turkey,35.66,7.27,22.09,30.88,25.15,44.44,2019 (mid)
Zambia,35.49,10.99,23.78,29.15,25.57,69.4,2019 (mid)
Tanzania,35.07,14.74,25.35,29.04,24.4,20.64,2019 (mid)
Morocco,34.59,9.29,22.49,30.3,23.94,39.4,2019 (mid)
Mongolia,34.43,9.68,22.6,32.12,23.31,29.83,2019 (mid)
Mexico,34.29,10.85,23.08,31.39,30.97,47.05,2019 (mid)
Bolivia,34.07,10.62,22.86,26.75,26.64,44.74,2019 (mid)
Rwanda,34.01,9.73,22.4,27.3,28.47,21.13,2019 (mid)
Paraguay,33.32,9.81,22.08,26.88,27.5,35.23,2019 (mid)
Belarus,33.02,10.32,22.17,27.78,34.27,42.92,2019 (mid)
Sri Lanka,32.95,6.83,20.46,36.36,19.27,25.59,2019 (mid)
Armenia,32.7,10.56,22.11,25.45,31.04,30.44,2019 (mid)
Moldova,32.63,7.9,20.81,25.64,27.22,29.48,2019 (mid)
Bangladesh,32.62,5.18,19.5,29.79,19.8,37.21,2019 (mid)
North Macedonia,32.27,6.5,19.95,24.98,24.49,40.16,2019 (mid)
Nigeria,31.75,21.59,26.89,31.48,20.66,15.91,2019 (mid)
Uganda,31.72,10.02,21.35,26.43,24.2,22.49,2019 (mid)
Ukraine,30.94,10.33,21.09,24.09,23.98,33.14,2019 (mid)
Nepal,30.69,4.96,18.39,26.47,20.27,24.15,2019 (mid)
Algeria,30.54,5.51,18.58,31.31,16.46,31.97,2019 (mid)
Colombia,30.25,9.43,20.3,24.39,22.33,34.55,2019 (mid)
Kazakhstan,30.06,9.51,20.24,23.55,29.88,38.65,2019 (mid)
Azerbaijan,29.81,9.17,19.94,23.34,31.4,28.48,2019 (mid)
Egypt,29.09,5.28,17.7,25.08,24.24,23.27,2019 (mid)
Kyrgyzstan,28.13,8.96,18.97,25.53,22.3,25.28,2019 (mid)
Georgia,27.78,9.3,18.94,22.01,25.97,30.23,2019 (mid)
Kosovo (Disputed Territory),27.38,8.72,18.46,24.61,21.11,54.11,2019 (mid)
Venezuela,27.22,6.85,17.48,29.59,22.31,2.79,2019 (mid)
Uzbekistan,25.79,7.82,17.2,22.02,19.34,25.8,2019 (mid)
Tunisia,25.43,5.18,15.75,23.45,14.05,37.63,2019 (mid)
Syria,25.31,5.44,15.81,22.82,20.77,12.37,2019 (mid)
India,25.14,5.99,15.98,25.16,17.51,61.73,2019 (mid)
Afghanistan,24.51,4.29,14.85,18.83,17.12,28.87,2019 (mid)
Pakistan,18.58,4.02,11.62,16.5,13.78,36.1,2019 (mid)
Switzerland,121.16,50.25,87.11,120.81,123.09,129.7,2019
Iceland,101.86,48.28,76.13,92.1,111.85,91.8,2019
Norway,100.99,37.28,70.4,92.67,111.53,103.61,2019
Bahamas,92.4,33.49,64.11,76.97,99.92,57.01,2019
Luxembourg,86.09,55.64,71.47,75.1,96.08,106.26,2019
Japan,83.33,27.97,56.75,83.58,48.75,103.12,2019
Denmark,81.38,32.91,58.11,63.62,95.14,114.39,2019
Hong Kong,78.14,76.83,77.51,80.3,56.08,69.34,2019
South Korea,76.93,22.23,50.66,89.7,44.84,103.4,2019
Ireland,75.35,41.8,59.24,59.1,82.65,95.09,2019
France,74.85,26.25,51.51,68.31,75.37,91.55,2019
Netherlands,74.83,34.74,55.58,58.8,83.49,102.54,2019
Israel,74.28,29.42,52.74,61.92,80.83,92.48,2019
Belgium,72.97,25.81,50.32,60.86,83.4,95.09,2019
Finland,72.82,26.14,50.4,60.02,77.91,112.3,2019
New Zealand,72.62,31.64,52.94,65.71,68.78,101.09,2019
Australia,72.08,35.5,54.52,66.9,70.69,122.85,2019
Austria,71.79,27.63,50.58,65.63,70.08,96.7,2019
Sweden,71.55,26.05,49.7,63.45,75.04,111.38,2019
United States,69.91,38.98,55.06,67.44,69.33,122.03,2019
Singapore,69.79,53.1,61.77,57.48,46.75,103.77,2019
Italy,69.25,21.68,46.4,58.34,75.72,77.49,2019
Germany,67.62,26.85,48.04,54.27,63.56,116.2,2019
United Kingdom,65.28,28.6,47.66,51.85,72.37,105.73,2019
Canada,65.01,28.32,47.39,62.37,61.81,109.44,2019
Puerto Rico,63.84,17.96,41.81,61.66,54.82,98.39,2019
Malta,63.32,28.68,46.69,51.23,67.28,59.67,2019
Taiwan,59.84,23.37,42.33,69.61,26.88,56.36,2019
Qatar,59.09,46.56,53.07,47.72,61.95,138.29,2019
Jamaica,58.8,14.74,37.64,58.84,42.26,34.69,2019
Lebanon,58.06,26.92,43.11,43.28,56.79,53.97,2019
Uruguay,57.31,16.21,37.57,45.11,56.28,47.77,2019
Bahrain,56.71,29.56,43.67,51.16,52.21,74.61,2019
Greece,56.66,10.8,34.64,43.69,54.76,49.57,2019
United Arab Emirates,56.16,40.98,48.87,43.16,53.88,119.6,2019
Cyprus,55.57,20.23,38.6,44.32,59.76,75.29,2019
Jordan,54.98,11.87,34.28,44.43,52.28,41.73,2019
Spain,54.7,20.73,38.39,44.02,54.13,83.8,2019
Slovenia,52.51,15.36,34.67,43.27,43.83,75.38,2019
Mauritius,52.44,11.53,32.8,47.89,39.14,39.77,2019
Myanmar,52.38,24.72,39.09,54.76,20.24,13.98,2019
Trinidad And Tobago,52.07,17.13,35.29,50,46,56.97,2019
Zimbabwe,51.57,11.67,32.41,45.74,36.81,27.65,2019
Kuwait,51.48,32.94,42.58,39.88,47.35,102.01,2019
Panama,51.45,24.63,38.57,48.21,47.06,41.34,2019
Ghana,51.13,31.57,41.74,44.76,31.74,18.7,2019
Estonia,51.01,15.38,33.9,37.06,51.24,75.97,2019
Fiji,50.93,22.7,37.38,57.63,36.46,35.44,2019
Costa Rica,50.89,15.48,33.89,47.91,42.58,47.13,2019
Portugal,50.39,21.07,36.31,40.2,43.13,55.19,2019
Palestine,50.2,9,30.41,43.9,37.33,57.17,2019
Belize,49.45,8.81,29.93,42.86,36.66,70.85,2019
Latvia,49.23,12.02,31.36,36.65,45.47,55.16,2019
Croatia,49.18,11.6,31.13,40.33,40.36,60.33,2019
Chile,47.73,15.22,32.12,40.55,45.15,54.13,2019
Saudi Arabia,47.61,11.4,30.22,39.06,30.93,118.59,2019
Thailand,47.54,17.71,33.21,50,24.63,40.86,2019
Cambodia,46.8,14.44,31.26,44.15,24.44,12.46,2019
Oman,46.2,19.89,33.57,40.02,44.41,88.47,2019
El Salvador,46.11,14.19,30.78,45.57,35.55,30.09,2019
Lithuania,45.91,12.9,30.06,35.36,43.95,60.34,2019
Nicaragua,45.83,9.54,28.4,46.36,31.14,24.52,2019
Czech Republic,45.12,18.27,32.23,38.08,33.25,71.32,2019
Slovakia,44.98,16.13,31.13,38.5,33.64,63.24,2019
Dominican Republic,44.92,10.21,28.25,35.68,42.43,26.02,2019
Namibia,43.22,17.46,30.85,39.92,38.59,63.6,2019
Brazil,42.8,11.46,27.75,31.3,34.85,37.43,2019
South Africa,42.49,16.5,30.01,33.88,40.79,82.97,2019
Honduras,42.1,10.76,27.05,33.57,31.52,35.22,2019
Hungary,42.03,13.64,28.4,32.36,33.43,54.66,2019
Ecuador,41.98,11.61,27.4,37.87,29.43,40.84,2019
Guatemala,41.74,13.93,28.39,38.02,32.28,41.79,2019
Cuba,40.5,8.11,24.95,34.3,28.29,2.47,2019
Iraq,39.62,11.46,26.1,34.1,31.85,47.61,2019
Montenegro,39.61,9.95,25.37,30.75,34.25,46.28,2019
Malaysia,39.38,10.92,25.71,39.7,22.75,73.14,2019
China,39.24,17.36,28.73,39.93,28.18,68.95,2019
Poland,39.13,14.92,27.5,30.66,32.72,70,2019
Kenya,38.21,10.05,24.69,33.23,31.22,32.46,2019
Vietnam,37.7,13.1,25.88,37.87,18.89,33.33,2019
Bulgaria,37.17,9.15,23.72,31.15,29.86,52.18,2019
Peru,37.17,11.96,25.06,32.69,23.68,37.47,2019
Romania,36.45,10,23.75,29.88,32.26,61.16,2019
Indonesia,36.24,8.43,22.88,38.14,18.02,32.95,2019
Albania,36.17,8.21,22.74,28.59,29.34,33.81,2019
Iran,35.8,16.92,26.73,32.63,26.88,37.74,2019
Bosnia And Herzegovina,35.72,6.32,21.6,28.81,23.78,49.18,2019
Russia,35.52,12.68,24.55,29.18,37,45.38,2019
Serbia,35.39,8.08,22.27,26.3,27.84,39.9,2019
Turkey,35.21,7.23,21.78,30.45,23.65,45.33,2019
Philippines,35.09,8.09,22.12,32.61,19.67,29.46,2019
Tanzania,34.74,16.03,25.76,28.59,25.15,22.71,2019
Bolivia,34.37,10.88,23.09,26.9,27.96,44.05,2019
Morocco,33.98,9.48,22.21,29.85,23.85,41.4,2019
Belarus,33.12,9.96,22,27.77,35.98,44.64,2019
Argentina,33.09,9.48,21.75,26.25,32.5,55,2019
Mexico,32.71,10.06,21.83,30.3,30.23,49.98,2019
Armenia,32.51,9.9,21.65,25.77,32.53,33.06,2019
Paraguay,32.27,9.38,21.28,26.03,25.75,35.57,2019
Moldova,32.26,7.97,20.6,24.97,27.71,30.75,2019
Bangladesh,31.83,5.44,19.16,29.52,18.97,39.82,2019
North Macedonia,31.58,6.47,19.52,24.85,23.67,39.83,2019
Nigeria,31.25,28.97,30.15,31.76,19.2,15.13,2019
Algeria,30.56,5.51,18.53,32,16.38,32.93,2019
Uganda,30.25,8.51,19.81,26.09,21.9,22.72,2019
Sri Lanka,30.24,7.57,19.36,33.57,17.36,27.34,2019
Colombia,30.15,9.17,20.07,24.33,22.46,34.66,2019
Kazakhstan,29.83,9.78,20.2,23.75,29.83,38.83,2019
Nepal,29.63,4.6,17.61,25.4,19.74,26.28,2019
Azerbaijan,29.12,8.72,19.32,24.08,30.67,32.01,2019
Georgia,28.78,8.53,19.05,23.39,27.09,33.19,2019
Ukraine,27.94,9.53,19.1,22.47,22.14,32.72,2019
Uzbekistan,27.11,8.27,18.06,23.9,21.14,25.09,2019
Egypt,26.46,5.01,16.16,23.19,22.26,23.67,2019
Kosovo (Disputed Territory),26.18,8.05,17.48,23.21,19.57,61.82,2019
Venezuela,25.73,5.89,16.2,27.58,21.98,3.71,2019
India,24.17,5.84,15.37,24.2,17.15,66.91,2019
Tunisia,23.69,4.96,14.69,22.27,13.33,37.99,2019
Pakistan,20.4,4.5,12.76,18.25,15.42,38.61,2019
