country,year,life_ladder,log_gdp_per_capita,social_support,healthy_life_expectancy,freedom_life_choices,generosity,corruption_perceptions,positive_affect,negative_affect,goverment_confidence,happiness_score,dystopia
Albania,2021,5.25548172,9.562287331,0.70188278,69.15000153,0.8274527190000001,0.044741828,0.896126628,0.553830087,0.25365448,0.472924024,5.199,1.7180000000000002
Argentina,2021,5.908278942000001,9.955421448,0.8823045490000001,67.19999695,0.8194793459999999,-0.008816141999999999,0.816256702,0.6848600509999999,0.345131576,0.326574117,5.9670000000000005,1.891
Armenia,2021,5.300568581,9.50048542,0.762044132,67.65000153,0.795169771,-0.150131598,0.7053338290000001,0.565781593,0.477539957,0.297145844,5.399,1.6540000000000001
Australia,2021,7.111598969,10.81834221,0.91975528,71.05000305,0.912402213,0.237517536,0.453676045,0.739800155,0.235314175,0.519226372,7.162000000000001,2.011
Austria,2021,7.079640865,10.89209175,0.862975955,71.15000153,0.7948459390000001,0.161673456,0.500808597,0.721865237,0.259080172,0.61045897,7.162999999999999,2.148
Benin,2021,4.493431091000001,8.140853882,0.435524195,56.09999847,0.724061847,-0.013507844,0.6125470999999999,0.596800864,0.434594899,0.762415886,4.623,2.458
Bolivia,2021,5.56862402,9.007940292,0.797810495,63.59999847,0.8617312309999999,-0.054499056,0.8121744390000001,0.721001804,0.403487325,0.38587558299999997,5.6,2.1069999999999998
Bosnia and Herzegovina,2021,5.748823166,9.627624512,0.859953582,67.30000305,0.7589792009999999,0.281281054,0.920913935,0.6040925979999999,0.305352151,0.225852832,5.768,1.869
Brazil,2021,6.009953499,9.593187332000001,0.814328671,65.75,0.7915077209999999,0.090771444,0.738571405,0.661550403,0.40718296200000004,0.327099293,6.292999999999999,2.3609999999999998
Bulgaria,2021,5.421693325,10.05412579,0.883621037,66.5,0.841188073,-0.010516754,0.891248465,0.646759868,0.252776712,0.22452619699999998,5.371,1.235
Burkina Faso,2021,4.635508537,7.713550568,0.6575436,55.65000153,0.64410162,0.067472264,0.7361589070000001,0.6197159289999999,0.363105804,0.620851576,4.67,2.313
Cameroon,2021,4.962747574,8.215063095,0.694936395,55.84999847,0.715301752,-0.023982672000000003,0.848717153,0.612028599,0.34651371799999997,0.563208461,5.048,2.469
Canada,2021,6.939435482,10.77074814,0.926076412,71.40000153,0.898229182,0.193240881,0.383990496,0.762826681,0.27623280899999997,0.610411167,7.025,1.9240000000000002
Chile,2021,6.435630797999999,10.16244316,0.891460538,70.30000305,0.80341506,-0.049180858,0.8585527540000001,0.735079885,0.22087857100000002,0.232144803,6.172000000000001,2.04
Colombia,2021,5.289958477,9.587848662999999,0.792830646,69.34999847,0.774668455,-0.06074876,0.831330955,0.75165838,0.34833231600000003,0.289148897,5.781000000000001,1.9709999999999999
Costa Rica,2021,6.408448218999999,9.938294411000001,0.87605232,70,0.8866522309999999,-0.023066543,0.781826913,0.774057925,0.317840338,0.31530833199999997,6.582000000000001,2.346
Croatia,2021,6.286790371,10.30044937,0.917741537,68.94999695,0.841837883,0.009498014,0.9336503740000001,0.6401486989999999,0.274197161,0.251287937,6.125,1.8840000000000001
Czechia,2021,6.942496777000001,10.58128357,0.950226784,69.05000305,0.890521467,0.163303927,0.8625741,0.7161665559999999,0.23984862899999998,0.28447541600000004,6.92,2.263
Denmark,2021,7.698747158,10.97297955,0.944926739,71.25,0.933439255,0.132816002,0.17268094399999998,0.7918908,0.20642221,0.651709735,7.636,2.226
Dominican Republic,2021,6.030537128,9.834504127999999,0.8571069840000001,64.40000153,0.8593583109999999,-0.08448360099999999,0.677408218,0.73365891,0.275468111,0.574958026,5.737,1.751
Ecuador,2021,5.43487215,9.26595211,0.785531878,69,0.821025372,-0.080462657,0.774508297,0.7417302729999999,0.40317139,0.412493259,5.5329999999999995,1.8659999999999999
Egypt,2021,4.025747776,9.40212822,0.7170223590000001,63.5,0.7044425609999999,-0.22779262100000003,0.580454171,0.387354374,0.324949861,0.7640445229999999,4.288,0.856
El Salvador,2021,6.431447029,9.05728817,0.7961062190000001,65.59999847,0.914903879,-0.075257853,0.663288593,0.8258404140000001,0.289976716,0.702381134,6.12,2.5140000000000002
Estonia,2021,6.5539155010000005,10.55838966,0.945865035,69.65000153,0.9258183240000001,0.049557805,0.441425771,0.760608435,0.176258042,0.519263983,6.341,1.442
Finland,2021,7.794377804,10.7945528,0.97028929,71.15000153,0.96318984,-0.035728443,0.19175365600000002,0.75161171,0.17544862600000002,0.7137312290000001,7.821000000000001,2.5180000000000002
France,2021,6.656206608,10.71656609,0.914597511,72.30000305,0.8369176979999999,-0.100719824,0.56081295,0.684601307,0.268417448,0.43352049600000003,6.687,1.895
Gabon,2021,5.075422287,9.559962273,0.75387162,58.25,0.699056685,-0.204959437,0.7659068109999999,0.620008111,0.36192885,0.448331118,4.958,1.892
Georgia,2021,4.911273479,9.648091316,0.670689464,64.94999695,0.777061343,-0.285530955,0.723406911,0.509632826,0.24004350600000002,0.44302052299999994,4.973,1.5830000000000002
Germany,2021,6.754523754,10.87341213,0.86758256,71.30000305,0.778439999,0.07768628,0.417581916,0.70333302,0.251194686,0.604759932,7.034,2.142
Ghana,2021,4.377950668,8.621863365,0.63272965,58.75,0.730264723,0.108457863,0.8877704740000001,0.58759433,0.295109749,0.521073401,4.872,1.972
Greece,2021,6.1042141910000005,10.26983833,0.85032618,71.15000153,0.574029803,-0.155177593,0.7518168690000001,0.623556495,0.310851872,0.401736408,5.9479999999999995,2.119
Honduras,2021,6.113636017,8.57476902,0.805980861,63.84999847,0.835045755,0.119133651,0.847225428,0.807722807,0.269214004,0.226496547,6.022,2.611
Hungary,2021,6.226647853999999,10.413867,0.9478921290000001,67.5,0.727489948,-0.041736327000000004,0.831555367,0.668148637,0.19194917399999997,0.41656613299999995,6.086,1.8119999999999998
Iceland,2021,7.564624786,10.89974785,0.97985822,72.05000305,0.9232433440000001,0.258854508,0.664465606,0.805808485,0.15910320000000003,0.633886755,7.557,2.32
India,2021,3.558253765,8.807804108,0.569732904,60.90000153,0.866110921,0.056761485,0.756820023,0.547308445,0.429137886,0.7854753729999999,3.7769999999999997,0.795
Indonesia,2021,5.43317318,9.367486954,0.816924691,63.04999924,0.884855866,0.545828223,0.8450802559999999,0.798546731,0.27275306,0.8403391240000001,5.24,1.3
Iran,2021,4.78781414,9.462799072000001,0.771469533,66.59999847,0.609310269,0.18741923600000002,0.761170328,0.5179298520000001,0.42716375,0.617649436,4.888,1.4269999999999998
Iraq,2021,5.093667984,9.109132767,0.730212867,63.65000153,0.594466746,0.008787568,0.9006400109999999,0.577400565,0.474228501,0.42379427,4.941,1.8940000000000001
Ireland,2021,6.827651978,11.54503345,0.849838138,71.30000305,0.846344113,0.133829191,0.360423386,0.7327337270000001,0.24521057300000001,0.623389423,7.041,1.743
Israel,2021,7.577528,10.61664009,0.91658324,72.69999695,0.8197770120000001,-0.001983023,0.7260037659999999,0.558294713,0.21654281,0.439594686,7.364,2.634
Italy,2021,6.4667449,10.63541317,0.8855336309999999,72.05000305,0.7028452159999999,-0.09175100900000001,0.862317502,0.634286821,0.318436861,0.35429391299999996,6.4670000000000005,2.222
Ivory Coast,2021,5.055806637,8.588439941,0.554224849,55.95000076,0.717105269,-0.000176828,0.715896964,0.625795424,0.344690382,0.6682884689999999,5.235,2.6519999999999997
Jamaica,2021,5.813733578,9.115969658,0.857367575,66.59999847,0.7306572790000001,-0.075910032,0.88274461,0.6885959509999999,0.307878584,0.325800419,5.85,2.164
Japan,2021,6.091324806,10.6239481,0.895737708,74.34999847,0.801350355,-0.209871203,0.669546723,0.674374282,0.18924604399999997,0.29078567,6.039,1.4869999999999999
Jordan,2021,3.90914917,9.203712462999999,0.7029181720000001,67.59999847,0.77311343,-0.14905554099999999,0.6555491689999999,0.479504108,0.429252565,0.791178405,4.152,0.695
Kazakhstan,2021,6.259634018,10.16281033,0.906053364,65.80000305,0.807489097,0.038746248999999996,0.7824940090000001,0.662836969,0.122301146,0.535169721,6.234,1.86
Kenya,2021,4.464540958,8.402458191000001,0.7022007109999999,58.5,0.678108215,0.32245874399999996,0.841331422,0.74483794,0.252963096,0.51475817,4.543,1.661
Kyrgyzstan,2021,5.563699722000001,8.458740234,0.9042732720000001,66.84999847,0.91787082,0.20692232300000002,0.90251559,0.659907758,0.226462573,0.582115293,5.827999999999999,2.0869999999999997
Latvia,2021,6.353090762999999,10.35994816,0.954086423,66.40000153,0.815278113,-0.09903203699999999,0.8395253420000001,0.716414034,0.18593426,0.294602394,6.18,1.923
Lebanon,2021,2.178809404,9.243083954,0.50677526,66.15000153,0.42269668,-0.142942175,0.9052790999999999,0.263486832,0.569100618,0.10669436300000001,2.955,0.21600000000000003
Lithuania,2021,6.864572525,10.57164574,0.9281752109999999,67.40000153,0.7074025270000001,-0.117042378,0.877800763,0.66699332,0.191300765,0.303830445,6.446000000000001,2.153
Malawi,2021,3.635283232,7.3161892889999995,0.557914317,58.20000076,0.757269025,-0.008707583,0.7402769920000001,0.550894737,0.325555235,0.514003277,3.75,1.661
Mali,2021,4.11309576,7.7177095410000005,0.573393524,55.40000153,0.6727892759999999,-0.002413505,0.90156728,0.639572978,0.43846687700000003,0.49901828200000004,4.479,2.373
Mauritius,2021,5.949120045,9.925987244,0.886509895,63.84999847,0.802364588,-0.0073179840000000005,0.783532083,0.665566385,0.135523796,0.527145624,6.071000000000001,1.969
Mexico,2021,5.99075079,9.837133408,0.778605103,65.80000305,0.8371593359999999,-0.03136697,0.745186806,0.750247896,0.30510965,0.483326107,6.127999999999999,2.239
Moldova,2021,5.959048748,9.500629425,0.879554033,65.30000305,0.832602262,-0.09025902300000001,0.875060678,0.630283237,0.270110786,0.363787621,5.857,2.142
Mongolia,2021,5.72103405,9.387740135,0.92711699,60.5,0.666846633,0.21735295699999999,0.8507202859999999,0.560003579,0.202482358,0.257001966,5.761,1.999
Mozambique,2021,5.178486824,7.108412266,0.664022684,51.29999924,0.838100493,0.04848666099999999,0.62746644,0.575794935,0.383462697,0.731971681,5.048,2.641
Myanmar,2021,4.314039707,8.281549454,0.7795764209999999,61.54999924,0.631394386,0.5148332720000001,0.671063483,0.636049151,0.267805815,0.305712879,4.394,0.877
Namibia,2021,4.491207123,9.077544212000001,0.80780077,56.84999847,0.6585052610000001,-0.144600421,0.828966737,0.643536866,0.23025910600000002,0.529419482,4.459,1.4140000000000001
Nepal,2021,4.622300148,8.242314339,0.6986464259999999,61.84999847,0.8175446390000001,0.149796292,0.769947886,0.41438108700000004,0.35387665,0.617541671,5.377000000000001,2.224
Netherlands,2021,7.3141512870000005,10.93984699,0.918759406,71.55000305,0.85629344,0.269323587,0.39657288799999996,0.714353323,0.20115916399999997,0.584738791,7.415,2.137
New Zealand,2021,7.13670063,10.68897343,0.949832201,70.34999847,0.9102498290000001,0.21934166600000002,0.252423555,0.747143626,0.206175357,0.6348978279999999,7.2,1.954
Nicaragua,2021,6.095348835,8.61372757,0.848263025,65.65000153,0.904980481,0.026981786,0.6746687290000001,0.798928738,0.292643428,0.589501441,6.165,2.418
Nigeria,2021,4.47926569,8.49864006,0.741560102,55.04999924,0.725732863,0.052173574,0.911945105,0.6662973170000001,0.188105255,0.252334535,4.552,1.784
North Macedonia,2021,5.534749985,9.71719265,0.8088569640000001,66.5,0.79296577,0.19251707199999998,0.884325325,0.563352823,0.303365707,0.359121591,5.199,1.4609999999999999
Norway,2021,7.361573696000001,11.09462643,0.947877407,71.5,0.936379194,0.169224352,0.263276964,0.769433558,0.20719704,0.773523211,7.365,1.925
Panama,2021,6.552778721,10.22175407,0.898621261,68.90000153,0.810681999,-0.140521035,0.861062586,0.8343824740000001,0.217544228,0.334807962,6.309,2.086
Paraguay,2021,5.575535297,9.454678535,0.9075418709999999,65.90000153,0.887960792,0.02379535,0.856721044,0.806078374,0.24832253199999998,0.290166408,5.577999999999999,1.555
Peru,2021,5.694317817999999,9.44045639,0.818539441,69.84999847,0.811777532,-0.08586414199999999,0.879913747,0.783769429,0.36865022799999997,0.30032289,5.559,1.89
Philippines,2021,5.96505785,9.020073891000001,0.778192103,62.04999924,0.905275464,-0.00859355,0.72116226,0.789731145,0.322941482,0.763208687,5.904,2.283
Poland,2021,5.978068829,10.43639851,0.935534835,69.05000305,0.731805563,0.127401829,0.743913174,0.699575484,0.277231276,0.259251654,6.122999999999999,1.693
Portugal,2021,6.183014393,10.41631794,0.894941688,71.25,0.892121136,-0.20704861,0.872229338,0.6287481189999999,0.284006834,0.576186419,6.016,1.6909999999999998
Romania,2021,6.548725605,10.33434677,0.834509134,67.05000305,0.8709579709999999,-0.182472154,0.928280115,0.6739823220000001,0.264397413,0.19229361399999997,6.477,2.4459999999999997
Russia,2021,5.448261261,10.22768974,0.861716568,64.94999695,0.670810163,0.05840759400000001,0.8078392740000001,0.590086401,0.1900727,0.45699209,5.459,1.494
Senegal,2021,4.902830601000001,8.127270699,0.645179272,60,0.758525133,0.034219597000000004,0.82134825,0.812411606,0.264975786,0.454221755,5.046,2.419
Serbia,2021,6.2452673910000005,9.874162673999999,0.8901060820000001,67.15000153,0.8503679040000001,0.26693216,0.8062216040000001,0.5676325560000001,0.31113097100000003,0.605454803,6.178,2.031
Sierra Leone,2021,3.7142944339999997,7.4216217989999995,0.609334111,54.5,0.659139514,0.108862124,0.851488411,0.537982225,0.44841569700000006,0.7530322070000001,3.574,1.556
Slovakia,2021,6.418503761,10.35686398,0.951163888,68.94999695,0.74153322,0.048633955,0.895546556,0.69156754,0.241131321,0.215807587,6.391,2.094
Slovenia,2021,6.7612209320000005,10.57335091,0.955252588,71.05000305,0.851086736,0.030901229,0.7541981940000001,0.642823279,0.261042506,0.339235812,6.63,1.885
South Africa,2021,5.5986537929999995,9.48507309,0.9222387670000001,57.25,0.703564703,-0.142795756,0.891578615,0.78432101,0.172806978,0.508961499,5.194,1.742
South Korea,2021,6.112745285,10.69212723,0.810740769,73.65000153,0.717086375,-0.029297361,0.685114563,0.5662710670000001,0.22117126,0.433829188,5.935,1.656
Spain,2021,6.469611167999999,10.53658772,0.926416755,72.34999847,0.781794965,-0.071897864,0.7293469909999999,0.6390746829999999,0.323980331,0.37170380399999997,6.476,1.893
Sri Lanka,2021,4.10344696,9.463738441,0.812373936,67.19999695,0.7714300159999999,-0.006883008,0.848541498,0.733172596,0.311583638,0.5049233439999999,4.362,0.595
Sweden,2021,7.439280032999999,10.8734293,0.9318195579999999,72.15000153,0.953379214,0.176988468,0.19147309699999998,0.7628944520000001,0.19000825300000002,0.6335360999999999,7.3839999999999995,2.003
Switzerland,2021,7.3276724820000005,11.16012573,0.934393048,72.90000153,0.907875359,0.026588805,0.286672562,0.74678129,0.18260684600000002,0.837848067,7.5120000000000005,2.153
Tanzania,2021,3.68056798,7.889876366,0.618984401,59.40000153,0.821772814,0.113013744,0.546387076,0.648245037,0.246362492,0.89139092,3.702,0.735
Thailand,2021,5.638096808999999,9.765044212000001,0.882821918,68.44999695,0.8355903029999999,0.293198258,0.9431293609999999,0.71892941,0.297737539,0.23943316899999997,5.891,1.6
Togo,2021,4.036543846,7.679789542999999,0.6033996939999999,57.20000076,0.618520677,0.041643928999999996,0.765818477,0.627953172,0.417280585,0.5478057270000001,4.112,2.061
Tunisia,2021,4.49948597,9.254252434,0.711321533,67,0.591229916,-0.201641768,0.9327456359999999,0.45136231200000004,0.335503727,0.31718990199999997,4.516,1.54
Turkey,2021,4.3666396139999994,10.3303709,0.7361949090000001,68.75,0.44652763,-0.033108227000000004,0.810165942,0.29709202100000004,0.470578879,0.426014364,4.744,1.0590000000000002
Uganda,2021,4.224533558,7.685560226000001,0.793349564,59.15000153,0.710621119,0.088556364,0.835011721,0.699308991,0.358832955,0.558759928,4.603,1.8419999999999999
Ukraine,2021,5.3113551139999995,9.462496758,0.879308522,64.55000305,0.769904315,0.17083738699999998,0.922350943,0.574909985,0.25038904,0.213765517,5.084,1.331
United Kingdom,2021,6.866961956,10.71970272,0.854029596,70.30000305,0.8150771859999999,0.254903495,0.447526574,0.683882475,0.265625894,0.39475399299999997,6.943,1.9669999999999999
United States,2021,6.959087848999999,11.05517292,0.920008719,65.84999847,0.8157348040000001,0.19220347699999998,0.6865915659999999,0.7396820190000001,0.277191907,0.40462520700000004,6.977,2.214
Uruguay,2021,6.501700401,10.01091671,0.913873136,67.5,0.8987238999999999,-0.04710667599999999,0.60564214,0.7462081309999999,0.26320982,0.485830873,6.474,1.974
Uzbekistan,2021,6.18530798,8.941695213,0.895503759,65.30000305,0.9274152520000001,0.188774511,0.6615616679999999,0.698459327,0.232672125,0.912673354,6.063,1.913
Zambia,2021,3.0821549889999997,8.087629318,0.6190710070000001,55.25,0.832573771,0.142836854,0.824030817,0.655689895,0.34855136299999995,0.6976777909999999,3.76,1.135
Zimbabwe,2021,3.154578209,8.153247833,0.6851505040000001,54.04999924,0.667636156,-0.109439008,0.756945193,0.609917223,0.241681874,0.665703177,2.995,0.5479999999999999
